experiment,variant,metric,value,unit,interpretation
"ack-bitfield","on","acknowledged-packets","33","packets","The base ACK plus the enabled 32-packet receive history are applied"
"ack-bitfield","on","pending-reliable","7","packets","The local sender state after one ACK is processed"
"ack-bitfield","off","acknowledged-packets","1","packets","Only the base ACK is applied when history is disabled"
"ack-bitfield","off","pending-reliable","39","packets","The local sender state after one ACK is processed"
"head-of-line","separate-channels","snapshot-delivered-before-reliable-gap","1","packets","SnapshotSequenced is not blocked by ReliableOrdered sequence 0"
"head-of-line","separate-channels","ordered-delivered-before-gap","0","packets","ReliableOrdered waits for its missing sequence"
"head-of-line","separate-channels","ordered-pending-before-gap","1","packets","The missing ordered packet is buffered until sequence 0 arrives"
"head-of-line","separate-channels","ordered-delivered-after-gap","2","packets","Both ordered packets are released in sequence"
"congestion","healthy-rtt","recommended-send-rate","20","Hz","Default Good mode"
"congestion","high-rtt","recommended-send-rate","10","Hz","RTT above the BAD threshold reduces detail/send rate"
"congestion","high-rtt","bad-dwell","20","seconds","Hysteresis prevents immediate oscillation"
"congestion","recovered-rtt","mode","Good","state","Recovery requires the minimum BAD dwell and a healthy RTT"
